creator_id,tier,is_sampled,is_posted,gmv
L4_0001,L4+,1,1,14671.96
L4_0002,L4+,1,1,7851.93
L4_0003,L4+,1,1,2329.31
L4_0004,L4+,1,1,5536.11
L4_0005,L4+,1,1,2207.9
L4_0006,L4+,1,1,2931.19
L4_0007,L4+,1,1,280.05
L4_0008,L4+,1,1,4222.8
L4_0009,L4+,1,1,409.91
L4_0010,L4+,1,1,5247.27
L4_0011,L4+,1,1,4570.17
L4_0012,L4+,1,1,3700.67
L4_0013,L4+,1,1,110.49
L4_0014,L4+,1,1,1083.46
L4_0015,L4+,1,1,915.96
L4_0016,L4+,1,1,1339.5
L4_0017,L4+,1,1,275.17
L4_0018,L4+,1,1,8291.85
L4_0019,L4+,1,1,2420.98
L4_0020,L4+,1,1,1093.79
L4_0021,L4+,1,1,1517.42
L4_0022,L4+,1,1,1778.29
L4_0023,L4+,1,1,2753.33
L4_0024,L4+,1,1,2175.02
L4_0025,L4+,1,1,7554.47
L4_0026,L4+,1,1,2061.28
L4_0027,L4+,1,1,14544.79
L4_0028,L4+,1,1,5720.0
L4_0029,L4+,1,1,701.52
L4_0030,L4+,1,1,8003.4
L4_0031,L4+,1,1,371.14
L4_0032,L4+,1,1,5102.19
L4_0033,L4+,1,1,1437.12
L4_0034,L4+,1,1,6310.57
L4_0035,L4+,1,1,6076.15
L4_0036,L4+,1,1,4918.54
L4_0037,L4+,1,1,4682.38
L4_0038,L4+,1,1,1090.15
L4_0039,L4+,1,1,253.14
L4_0040,L4+,1,1,1547.41
L4_0041,L4+,1,1,571.76
L4_0042,L4+,1,1,3561.85
L4_0043,L4+,1,1,1274.4
L4_0044,L4+,1,1,11140.77
L4_0045,L4+,1,1,3073.07
L4_0046,L4+,1,1,5186.03
L4_0047,L4+,1,1,426.5
L4_0048,L4+,1,1,5941.82
L4_0049,L4+,1,1,7682.4
L4_0050,L4+,1,1,2002.8
L4_0051,L4+,1,1,2796.14
L4_0052,L4+,1,1,4342.08
L4_0053,L4+,1,1,576.53
L4_0054,L4+,1,1,2094.88
L4_0055,L4+,1,1,1525.8
L4_0056,L4+,1,1,474.79
L4_0057,L4+,1,1,1374.39
L4_0058,L4+,1,1,211.82
L4_0059,L4+,1,1,78.45
L4_0060,L4+,1,1,435.65
L4_0061,L4+,1,1,9899.86
L4_0062,L4+,1,1,2392.39
L4_0063,L4+,1,1,10128.53
L4_0064,L4+,1,1,1699.53
L4_0065,L4+,1,1,1121.1
L4_0066,L4+,1,1,2116.52
L4_0067,L4+,1,1,1736.84
L4_0068,L4+,1,1,335.02
L4_0069,L4+,0,1,2047.9
L4_0070,L4+,0,1,486.79
L4_0071,L4+,0,1,1933.0
L4_0072,L4+,0,1,2100.79
L4_0073,L4+,0,1,329.81
L4_0074,L4+,0,1,126.62
L4_0075,L4+,0,1,3035.19
L4_0076,L4+,0,1,1231.63
L4_0077,L4+,0,1,119.85
L4_0078,L4+,0,0,42.7
L4_0079,L4+,0,0,623.48
L4_0080,L4+,0,0,987.71
L4_0081,L4+,0,0,1638.16
L4_0082,L4+,0,0,1001.65
L4_0083,L4+,0,0,1294.49
L4_0084,L4+,0,0,331.75
L4_0085,L4+,0,0,1349.16
L4_0086,L4+,0,0,66.81
L4_0087,L4+,0,0,1801.64
L4_0088,L4+,0,0,634.54
L4_0089,L4+,0,0,1359.92
L4_0090,L4+,0,0,481.65
L4_0091,L4+,0,0,825.31
L4_0092,L4+,0,0,597.92
L4_0093,L4+,0,0,1052.19
L4_0094,L4+,0,0,68.12
L4_0095,L4+,0,0,49.8
L4_0096,L4+,0,0,227.06
L4_0097,L4+,0,0,139.05
L4_0098,L4+,0,0,1643.23
L4_0099,L4+,0,0,197.96
L4_0100,L4+,0,0,2979.28
L4_0101,L4+,0,0,328.66
L4_0102,L4+,0,0,160.83
L4_0103,L4+,0,0,1247.37
L4_0104,L4+,0,0,860.01
L4_0105,L4+,0,0,551.64
L4_0106,L4+,0,0,648.4
L4_0107,L4+,0,0,1016.1
L4_0108,L4+,0,0,207.49
L4_0109,L4+,0,0,4486.9
L4_0110,L4+,0,0,2944.51
L4_0111,L4+,0,0,840.6
L4_0112,L4+,0,0,178.06
L4_0113,L4+,0,0,912.12
L4_0114,L4+,0,0,59.95
L4_0115,L4+,0,0,24.91
L4_0116,L4+,0,0,238.38
L4_0117,L4+,0,0,496.84
L4_0118,L4+,0,0,1621.62
L4_0119,L4+,0,0,1039.12
L4_0120,L4+,0,0,1086.03
L4_0121,L4+,0,0,443.39
L4_0122,L4+,0,0,339.64
L4_0123,L4+,0,0,370.95
L4_0124,L4+,0,0,3515.25
L4_0125,L4+,0,0,32.75
L4_0126,L4+,0,0,1614.11
L4_0127,L4+,0,0,691.48
L4_0128,L4+,0,0,461.88
L4_0129,L4+,0,0,1033.54
L4_0130,L4+,0,0,533.47
L4_0131,L4+,0,0,1653.53
L4_0132,L4+,0,0,1847.7
L4_0133,L4+,0,0,438.16
L4_0134,L4+,0,0,259.29
